Consistency Check Warnings (Real Issues + Faulty Data)
============================================================

• [RSI Mean Reversion Selective] ⚠️  REAL ISSUES: Detected 138 suspicious price jumps > 15% (possible missing corporate actions)
•   Trade #2 (MU) @ 2026-02-02 10:42:00: +184.97% ($141.96 → $404.55)
•   Trade #3 (LULU) @ 2026-02-02 10:45:00: -57.13% ($404.55 → $173.44)
•   Trade #4 (SOUN) @ 2026-02-02 10:52:00: -95.24% ($173.44 → $8.26)
•   Trade #5 (UAL) @ 2026-02-02 10:54:00: +1145.64% ($8.26 → $102.91)
•   Trade #6 (AI) @ 2026-02-02 10:55:00: -89.48% ($102.91 → $10.82)
•   Trade #7 (ORCL) @ 2026-02-02 10:57:00: +1369.22% ($10.82 → $159.00)
•   Trade #8 (NTLA) @ 2026-02-02 10:57:00: -91.98% ($159.00 → $12.75)
•   Trade #9 (NFLX) @ 2026-02-02 10:58:00: +553.02% ($12.75 → $83.28)
•   Trade #10 (PLTR) @ 2026-02-03 00:01:00: +88.48% ($83.28 → $156.96)
•   Trade #11 (DNA) @ 2026-02-03 00:01:00: -93.93% ($156.96 → $9.53)
•   Trade #12 (CRSP) @ 2026-02-03 00:01:00: +441.96% ($9.53 → $51.66)
•   Trade #13 (BEAM) @ 2026-02-03 00:01:00: -45.79% ($51.66 → $28.01)
•   Trade #14 (NEM) @ 2026-02-03 00:01:00: +308.57% ($28.01 → $114.42)
•   Trade #15 (MP) @ 2026-02-03 00:09:00: -46.68% ($114.42 → $61.01)
•   Trade #16 (KTOS) @ 2026-02-03 00:14:00: +57.18% ($61.01 → $95.89)
•   Trade #17 (LAC) @ 2026-02-03 00:17:00: -94.94% ($95.89 → $4.85)
•   Trade #18 (AES) @ 2026-02-03 00:20:00: +227.26% ($4.85 → $15.87)
•   Trade #19 (FCX) @ 2026-02-03 00:20:00: +287.35% ($15.87 → $61.49)
•   Trade #20 (ENPH) @ 2026-02-04 00:02:00: -27.18% ($61.49 → $44.78)
•   Trade #21 (SNOW) @ 2026-02-04 00:21:00: +285.55% ($44.78 → $172.63)
•   Trade #22 (SEDG) @ 2026-02-04 00:21:00: -81.07% ($172.63 → $32.68)
•   Trade #23 (APP) @ 2026-02-04 00:24:00: +1314.14% ($32.68 → $462.09)
•   Trade #24 (OPEN) @ 2026-02-04 00:26:00: -98.90% ($462.09 → $5.09)
•   Trade #25 (GREE) @ 2026-02-04 00:27:00: -75.05% ($5.09 → $1.27)
•   Trade #26 (HUBS) @ 2026-02-04 00:31:00: +19455.96% ($1.27 → $248.33)
•   Trade #27 (CAN) @ 2026-02-04 00:34:00: -99.76% ($248.33 → $0.60)
•   Trade #28 (CTRA) @ 2026-02-04 00:47:00: +4665.92% ($0.60 → $28.54)
•   Trade #30 (F) @ 2026-02-05 00:04:00: -55.52% ($31.11 → $13.84)
•   Trade #31 (AFRM) @ 2026-02-05 00:07:00: +351.75% ($13.84 → $62.51)
•   Trade #33 (MDB) @ 2026-02-05 00:18:00: +529.68% ($54.37 → $342.34)
•   Trade #34 (BE) @ 2026-02-05 00:21:00: -56.59% ($342.34 → $148.61)
•   Trade #35 (CCI) @ 2026-02-05 00:22:00: -45.49% ($148.61 → $81.01)
•   Trade #36 (PFE) @ 2026-02-05 00:23:00: -67.06% ($81.01 → $26.69)
•   Trade #37 (PINS) @ 2026-02-05 00:27:00: -25.07% ($26.69 → $19.99)
•   Trade #38 (CVNA) @ 2026-02-05 00:28:00: +1857.48% ($19.99 → $391.38)
•   Trade #39 (TER) @ 2026-02-05 00:32:00: -30.04% ($391.38 → $273.80)
•   Trade #40 (BBAI) @ 2026-02-06 00:00:00: -98.56% ($273.80 → $3.94)
•   Trade #41 (RBLX) @ 2026-02-06 00:03:00: +1540.95% ($3.94 → $64.66)
•   Trade #42 (OKTA) @ 2026-02-06 00:04:00: +25.40% ($64.66 → $81.09)
•   Trade #43 (NVO) @ 2026-02-06 00:04:00: -45.55% ($81.09 → $44.15)
•   Trade #44 (UPST) @ 2026-02-06 00:08:00: -24.49% ($44.15 → $33.34)
•   Trade #45 (NET) @ 2026-02-06 00:09:00: +383.53% ($33.34 → $161.19)
•   Trade #46 (LYB) @ 2026-02-06 00:10:00: -65.85% ($161.19 → $55.04)
•   Trade #48 (BA) @ 2026-02-06 00:11:00: +403.44% ($46.84 → $235.80)
•   Trade #49 (EL) @ 2026-02-06 00:11:00: -59.49% ($235.80 → $95.52)
•   Trade #50 (EDIT) @ 2026-02-07 00:08:00: -98.09% ($95.52 → $1.82)
•   Trade #51 (RIOT) @ 2026-02-07 00:10:00: +701.13% ($1.82 → $14.58)
•   Trade #52 (U) @ 2026-05-07 23:50:00: +81.82% ($14.58 → $26.52) [synthetic_jump]
•   Trade #53 (GILD) @ 2026-05-07 23:50:00: +397.88% ($26.52 → $132.02) [synthetic_jump]
•   Trade #55 (LULU) @ 2026-05-07 23:50:00: -79.34% ($643.93 → $133.06) [synthetic_jump]
•   Trade #56 (SOUN) @ 2026-05-07 23:50:00: -93.62% ($133.06 → $8.48) [synthetic_jump]
•   Trade #57 (UAL) @ 2026-05-07 23:50:00: +1065.05% ($8.48 → $98.85) [synthetic_jump]
•   Trade #58 (AI) @ 2026-05-07 23:50:00: -90.37% ($98.85 → $9.52) [synthetic_jump]
•   Trade #59 (ORCL) @ 2026-05-07 23:50:00: +1889.21% ($9.52 → $189.37) [synthetic_jump]
•   Trade #60 (NTLA) @ 2026-05-07 23:50:00: -92.79% ($189.37 → $13.65) [synthetic_jump]
•   Trade #61 (NFLX) @ 2026-05-07 23:50:00: +548.05% ($13.65 → $88.45) [synthetic_jump]
