Strategy Summary: RSIMeanReversionPenguin

Portfolio Totals
Cash,"$58,107.16"
Market Value,$0.00
Total Value,"$58,107.16"
Total Buy Count,1494757
Total Sell Count,512499
Total PnL,"$48,107.16"

Symbol,Buy Count,Sell Count,Shares Bought,Total Cost,Total Revenue,Total PnL,PnL %
STZ,3132,1226,3132,"$487,471.66","$487,457.46",$-14.20,-0.00%
SWKS,2937,1102,2937,"$196,342.72","$196,241.75",$-100.97,-0.05%
SYK,1315,628,1315,"$477,908.75","$478,118.34",$209.59,+0.04%
SYY,2635,992,2635,"$203,305.18","$203,333.44",$28.26,+0.01%
TEAM,3044,1250,3044,"$425,316.40","$425,234.06",$-82.34,-0.02%
TER,2499,1235,2499,"$440,748.14","$441,397.79",$649.65,+0.15%
TFC,2628,1168,2628,"$119,745.34","$119,831.39",$86.05,+0.07%
TGT,4618,1978,4618,"$469,968.75","$470,099.71",$130.96,+0.03%
TJX,2578,1085,2578,"$366,726.78","$366,878.88",$152.10,+0.04%
TMO,1371,657,1371,"$691,733.94","$692,409.95",$676.00,+0.10%
TSLA,5032,1803,5032,"$1,903,435.60","$1,903,151.16",$-284.43,-0.01%
TSM,6064,2500,6064,"$1,621,494.69","$1,621,691.80",$197.11,+0.01%
TWLO,2430,1114,2430,"$286,598.22","$286,917.01",$318.79,+0.11%
TXN,2715,1288,2715,"$507,107.75","$507,456.87",$349.12,+0.07%
U,9290,3160,9290,"$277,191.41","$277,360.81",$169.39,+0.06%
UAL,4941,2065,4941,"$460,667.43","$460,894.43",$227.00,+0.05%
UBER,6862,2644,6862,"$571,948.83","$572,156.01",$207.18,+0.04%
ULTA,1688,769,1688,"$896,250.71","$896,625.23",$374.52,+0.04%
UNH,6012,2212,6012,"$1,944,359.79","$1,944,005.93",$-353.86,-0.02%
UNP,1342,650,1342,"$312,473.21","$312,600.83",$127.63,+0.04%
UPS,4713,2014,4713,"$464,402.16","$464,550.70",$148.54,+0.03%
UPST,6787,2704,6787,"$344,080.27","$344,396.68",$316.42,+0.09%
USB,2935,1256,2935,"$144,261.57","$144,328.70",$67.13,+0.05%
VALE,10214,2772,10214,"$118,030.64","$118,110.52",$79.88,+0.07%
VERI,12097,2887,12097,"$42,466.05","$42,607.87",$141.82,+0.33%
VLO,2848,1120,2848,"$505,477.17","$505,720.29",$243.12,+0.05%
VMC,1391,696,1391,"$390,828.12","$390,977.93",$149.82,+0.04%
VRTX,1818,784,1818,"$805,286.24","$805,128.38",$-157.86,-0.02%
VTR,2613,934,2613,"$192,060.88","$192,126.11",$65.22,+0.03%
W,4415,1637,4415,"$296,230.24","$296,538.71",$308.47,+0.10%
WDAY,2298,971,2298,"$452,210.49","$452,272.59",$62.10,+0.01%
WELL,2254,807,2254,"$405,488.33","$405,576.12",$87.79,+0.02%
WFC,4064,1818,4064,"$330,666.84","$330,802.15",$135.31,+0.04%
WM,2178,864,2178,"$486,529.56","$486,663.98",$134.42,+0.03%
WMB,3586,1261,3586,"$222,870.70","$222,946.57",$75.87,+0.03%
WMT,6773,2594,6773,"$718,457.98","$718,615.06",$157.08,+0.02%
XEL,2505,961,2505,"$187,614.22","$187,724.20",$109.97,+0.06%
XLE,6814,2373,6814,"$479,383.42","$479,150.82",$-232.60,-0.05%
XLF,6848,2699,6848,"$355,044.98","$355,014.41",$-30.57,-0.01%
XLI,1444,887,1444,"$223,678.67","$223,725.63",$46.96,+0.02%
XLK,3466,1738,3466,"$667,153.63","$667,067.35",$-86.28,-0.01%
XLP,3642,1556,3642,"$295,526.30","$295,532.12",$5.82,+0.00%
XLV,3052,1500,3052,"$441,757.92","$441,810.21",$52.30,+0.01%
XOM,6948,2430,6948,"$876,366.14","$876,472.08",$105.95,+0.01%
XPEV,14066,3550,14066,"$276,222.28","$276,339.88",$117.60,+0.04%
YUM,2264,854,2264,"$340,198.33","$340,326.48",$128.15,+0.04%
Z,3921,1338,3921,"$259,791.91","$259,975.59",$183.68,+0.07%
ZG,3002,1070,3002,"$194,134.77","$194,142.51",$7.74,+0.00%
ZM,3286,1365,3286,"$267,645.52","$267,868.51",$222.99,+0.08%
ZS,2829,1300,2829,"$612,362.13","$612,566.40",$204.26,+0.03%
ZTS,2374,908,2374,"$324,871.64","$324,793.26",$-78.39,-0.02%
